Scenario,Model,Avg Reward,Std Reward,Crash Rate
Easy Cruise,Model 1,45.577343793333505,9.518366974826863,40.0
Light Traffic,Model 1,54.57134585388273,1.10200748931899,20.0
Standard,Model 1,50.26344402999885,4.009753710335294,40.0
Busy,Model 1,5.039353846031288,2.6975389330242403,100.0
Dense,Model 1,2.0240917566136227,0.5287018834056498,100.0
Extreme,Model 1,1.339070957504243,0.4642698995821042,100.0
Wide Empty,Model 1,40.17655548570777,11.761732650136754,60.0
Narrow Dense,Model 1,1.5298665673106913,0.5100441889435045,100.0
